id,name,category,displayName,cim_action
1,SEND_MESSAGE,Device,Send Message,created
2,ALLOW_APP_TUNNEL,Device,Allow App Tunnel,acl_modified
3,BLOCK_APP_TUNNEL,Device,Block App Tunnel,acl_modified
4,REGISTER_DEVICE,Device,Register Device,created
6,INSTALL_HELP_AT_WORK,Device,Install Help@Work,created
7,LOST,Device,Lost,changed
8,WIPE,Device,Wipe,cleared
9,LOCK,Device,Lock,modified
10,UNLOCK,Device,Unlock Device and AppConnect Container,changed
11,UNLOCK_DEVICE_ONLY,Device,Unlock Device Only,changed
12,UNLOCK_APP_CONNECT_CONTAINER,Device,Unlock AppConnect Container,changed
13,RETIRE,Device,Retire,changed
14,DELETE_RETIRED_DEVICE,Device,Delete Retired Device,deleted
15,ALERT,Device,Send Alert,created
16,APPLY_LABEL_TO_DEVICES,Device,Apply Label,created
17,REMOVE_LABEL_FROM_DEVICES,Device,Remove Label,deleted
19,CHANGE_OWNERSHIP,Device,Change Ownership,modified
20,LOCATE,Device,Locate,read
21,FOUND,Device,Found,
22,WAKEUP_DEVICE,Device,Wakeup,started
28,REINSTALL_MICLIENT,Device,Re-provision Device,
29,REMOTE_DISPLAY,Device,Remote Display,
32,CANCEL_WIPE,Device,Cancel Wipe,stopped
33,RESET_PASSWORD,Device,Reset Password,changed
35,SEND_APNS_MESSAGE,Device,Send APNS message,created
36,RESEND_PROVISION_MESSAGE,Device,Resend Provision Message,created
39,REQUEST_UNLOCK_PASSCODE,Device,Request Unlock Passcode,
40,REQUEST_UNLOCK_APP_CONNECT_CONTAINER,Device,Request Unlock AppConnect Container,
41,REQUEST_UNLOCK_DEVICE_ONLY,Device,Request Unlock Device,
42,CHANGE_LANGUAGE,Device,Change Language,
44,ENABLE_VOICE_ROAMING,Device,Enable Voice Roaming,
45,DISABLE_VOICE_ROAMING,Device,Disable Voice Roaming,
46,ENABLE_DATA_ROAMING,Device,Enable Data Roaming,
47,DISABLE_DATA_ROAMING,Device,Disable Data Roaming,
48,DISABLE_PERSONAL_HOTSPOT,Device,Disable Personal Hotspot,
49,ENABLE_PERSONAL_HOTSPOT,Device,Enable Personal Hotspot,
51,ENABLE_KIOSK,Device,Enable Kiosk,
52,DISABLE_KIOSK,Device,Disable Kiosk,
53,DISABLE_KNOX_CONTAINER,Device,Disable KNOX Container,
54,ENABLE_KNOX_CONTAINER,Device,Enable KNOX Container,
55,ENABLE_ACTIVATION_LOCK,Device,Enable Activation Lock,
56,DISABLE_ACTIVATION_LOCK,Device,Disable Activation Lock,
57,RESET_PIN,Device,Reset PIN,
58,CHECK_COMPLIANCE,Device,Check Compliance,
59,SEND_ACTIVATION_LOCK_BYPASS_CODE,Device,Send Activation Lock Bypass Code,
60,UPDATE_DEVICE_COMMENT,Device,Update Device Comment,modified
61,SIGN_OUT,Device,Sign Out,
62,SIGN_IN,Device,Sign In,
63,PUSH_PROFILE,Device,Push Profile,
64,ACTIVESYNC_DEVICE_COMMENT,ActiveSync Device,ActiveSync Device Comment,
65,REMOVE_ACTIVESYNC_DEVICE,ActiveSync Device,Remove,
